,user,text,favorite_count,retweet_count,created_at
88,narendramodi,"मां वैष्णो देवी के दर्शन के लिए पहले ही वंदे भारत एक्सप्रेस की सुविधा थी, अब नैनादेवी, चिंतपूर्णी, ज्‍वालादेवी, कांगड़ादेवी जैसे शक्‍तिपीठों के साथ-साथ आनंदपुर साहिब जाना भी आसान होगा। https://t.co/bz01sYZ2iO",13560,4579,2022-10-13 11:19:17+00:00
89,narendramodi,"आज जहां हिमाचल में ड्रोन से जरूरी सामान को दुर्गम क्षेत्रों में पहुंचाया जा रहा है, वहीं वंदे भारत जैसी ट्रेनें भी चलाई जा रही हैं। हम सिर्फ 20वीं सदी की जरूरतें ही पूरी नहीं कर रहे, बल्कि 21वीं सदी की आधुनिक सुविधाएं भी घर-घर ले जा रहे हैं। https://t.co/uPCsLx9OJa",9188,3686,2022-10-13 11:18:57+00:00
90,narendramodi,Delighted to be in Chamba. Numerous initiatives are being launched here which will further Himachal Pradesh's growth. https://t.co/PLixerpOtU,14303,4715,2022-10-13 07:59:05+00:00
91,narendramodi,"In Una, launching projects related to pharma, education &amp; railways. These will have positive impact on the region's progress. https://t.co/NafVwqSLJt",14951,4813,2022-10-13 05:14:21+00:00
92,narendramodi,"In Chamba, the Pradhan Mantri Gram Sadak Yojana-III in Himachal Pradesh would be launched. This will augment the roads network across the state. Tourism and economic activities will also pick up due to this. The foundation stone for two hydropower projects will also be laid.",6671,2395,2022-10-12 15:09:01+00:00
93,narendramodi,"You would be glad to know that the Vande Bharat Express would be flagged off. IIIT, Una will also be dedicated to the nation. The foundation stone of a Bulk Drug Park will be laid. These works will give wings to people's aspirations.",9413,2810,2022-10-12 15:09:00+00:00
94,narendramodi,"I will be among the people of Himachal Pradesh tomorrow, 13th October. Looking forward to the programmes in Una and Chamba where many development works will be inaugurated which are aimed at further increasing the pace of progress in the state. https://t.co/HBV8Ltppcl",16406,4002,2022-10-12 15:09:00+00:00
95,narendramodi,हजारों वर्षों से भारतीय कालगणना का केंद्र बिन्दु रहा उज्जैन आज एक बार फिर भारत की भव्यता के एक नए कालखंड का उद्घोष कर रहा है। #ShriMahakalLok https://t.co/ACTHGIfAs7,59620,12488,2022-10-12 14:10:11+00:00
96,narendramodi,Superb! Talent and teamwork on full display. Manipur’s football love is widely known.  More power to these players. ⚽ https://t.co/1DhbBh9k5O,22138,3890,2022-10-12 14:09:54+00:00
97,narendramodi,"An important Cabinet decision, which will drive India's efforts of port-led development and becoming a hub for trade. This decision will also benefit many states which do not have access to the coastline. 

https://t.co/M3NpnkpKCC https://t.co/w6iL20v0Sg",6668,2423,2022-10-12 14:09:01+00:00
98,narendramodi,"This Cabinet decision will add impetus to the growth trajectory of the Northeast and provide numerous opportunities for youngsters there. 

https://t.co/KjxV8uOo1s https://t.co/AoUoJlbGzY",5704,2144,2022-10-12 14:08:25+00:00
99,narendramodi,"On her birth anniversary, tributes to Rajmata Vijaya Raje Scindia Ji. She was synonymous with courage and foresight. She devoted her life to serving others. Sharing what I had said during one of the previous #MannKiBaat programmes about her outstanding personality. https://t.co/HTDBGxkSuw",20864,5133,2022-10-12 03:17:04+00:00
100,narendramodi,"In addition to the Shree Mahakaleshwar Temple, the #ShriMahakalLok is yet another reason why you all must visit Ujjain! https://t.co/rCPupmwl1o",54805,10712,2022-10-11 15:52:22+00:00
101,narendramodi,Blessed to have got the opportunity to dedicate #ShriMahakalLok to the nation. This is an important endeavour which will deepen the connect of our citizens with our rich history and glorious culture. https://t.co/zO99Uebn9U,30758,7419,2022-10-11 15:50:44+00:00
102,narendramodi,"अवन्तिकायां विहितावतारं, मुक्ति प्रदानाय च सज्जनानाम्।

अकालमृत्योः परिरक्षणार्थं, वन्दे महाकाल महासुरेशम्।।

जय महाकाल।। https://t.co/LUoLKfYe1p",82969,16039,2022-10-11 15:09:48+00:00
103,narendramodi,A memorable day as Shri Mahakal Lok is being inaugurated. This will add to Ujjain's vibrancy. https://t.co/KpHLKAILeP,20439,6636,2022-10-11 14:28:28+00:00
104,narendramodi,Reached Ujjain for the memorable #ShriMahakalLok programme. Here are the highlights from an extensive Gujarat visit covering various programmes. https://t.co/8Gbql6dTHY,34654,8463,2022-10-11 12:17:47+00:00
105,narendramodi,Here is how Gujarat’s healthcare sector changed in the last 20 years. https://t.co/EFzRGpBlcm,10346,3347,2022-10-11 11:51:22+00:00
106,narendramodi,"My doctor friends tell me that in order to cure a patient they need to focus on surgery, medicines and care. We adopted the same methods for Gujarat’s healthcare system. https://t.co/CiJsnld1Bx",8946,3058,2022-10-11 11:51:02+00:00
107,narendramodi,I’m not a medical doctor but I have had to focus on eliminating many diseases in administration which slowed the pace of development. https://t.co/igECbYqQKv,17356,4293,2022-10-11 11:50:20+00:00
108,narendramodi,Best wishes to all teams taking part in the #U17WWC starting today. India is proud to be hosting this tournament. I am confident the tournament will witness a celebration of football and the teams will also get a glimpse of India’s hospitality. ⚽️ https://t.co/EVQkvLyNZm,11173,3049,2022-10-11 10:32:07+00:00
109,narendramodi,Healthcare initiatives being launched in Ahmedabad will significantly benefit the citizens. https://t.co/J9a3vOaL4j,10692,3580,2022-10-11 09:44:44+00:00
110,narendramodi,ગુજરાત શિક્ષણનું કેન્દ્ર બન્યું છે. રાજ્યભરમાં ઘણી યુનિવર્સિટીઓની સ્થાપના થઈ છે. મેડિકલ અને કોમ્પ્યુટર સહિત ઈજનેરી વિધાશાખામાં બેઠકો વધી છે. આનાથી રાજ્યના યુવાનોને ફાયદો થઈ રહ્યો છે. https://t.co/1iClm4PrKr,7799,2722,2022-10-11 09:01:12+00:00
111,narendramodi,આધુનિક મલ્ટી મોડલ ઇન્ફ્રાસ્ટ્રકચર ગુજરાતને ખૂબ મદદ કરી રહ્યું છે... https://t.co/QceOVOkRdX,9643,2902,2022-10-11 09:00:28+00:00
112,narendramodi,"In line with the ideals of Loknayak JP and Nanaji Deshmukh, we are focusing on a corruption free society but naturally, some vested interest groups are rattled by this… https://t.co/961o9dSgu3",9461,2843,2022-10-11 09:00:05+00:00
113,narendramodi,જામકંડોરણામાં જન સેલાબ. આજની @BJP4Gujaratની રેલીમાં જોડાનારા તમામ લોકો પ્રત્યે આભારની લાગણી વ્યક્ત કરું છું. https://t.co/LrA8CLc1hK,15992,3629,2022-10-11 08:59:18+00:00
114,narendramodi,Being in Jamkandorana is always special. Addressing a massive public meeting. https://t.co/BodBxNK7HC,9961,3530,2022-10-11 06:25:46+00:00
115,narendramodi,My remarks at the UN World Geospatial International Congress. https://t.co/d0WyJWlJBP,5772,3713,2022-10-11 04:59:29+00:00
